EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:55:07	0.0000	1.0598	0.0432	0.8677	0.8513	0.8594	0.7535
2	14:56:15	0.0000	0.0382	0.0532	0.8830	0.9557	0.9179	0.8483
3	14:57:24	0.0000	0.0294	0.0314	0.9551	0.9430	0.9490	0.9030
4	14:58:33	0.0000	0.0192	0.0216	0.9712	0.9620	0.9666	0.9354
5	14:59:42	0.0000	0.0132	0.0216	0.9568	0.9810	0.9688	0.9394
6	15:00:51	0.0000	0.0106	0.0145	0.9749	0.9842	0.9795	0.9628
7	15:01:59	0.0000	0.0083	0.0144	0.9720	0.9905	0.9812	0.9631
8	15:03:09	0.0000	0.0068	0.0158	0.9690	0.9905	0.9797	0.9601
9	15:04:17	0.0000	0.0070	0.0154	0.9751	0.9905	0.9827	0.9660
10	15:05:26	0.0000	0.0068	0.0118	0.9750	0.9873	0.9811	0.9630
11	15:06:35	0.0000	0.0056	0.0210	0.9660	0.9905	0.9781	0.9572
12	15:07:45	0.0000	0.0052	0.0123	0.9781	0.9905	0.9843	0.9690
13	15:08:54	0.0000	0.0042	0.0149	0.9751	0.9905	0.9827	0.9660
14	15:10:03	0.0000	0.0041	0.0122	0.9781	0.9905	0.9843	0.9690
15	15:11:12	0.0000	0.0024	0.0144	0.9751	0.9905	0.9827	0.9660
16	15:12:21	0.0000	0.0019	0.0139	0.9781	0.9905	0.9843	0.9690
17	15:13:30	0.0000	0.0019	0.0142	0.9781	0.9905	0.9843	0.9690
18	15:14:39	0.0000	0.0016	0.0146	0.9812	0.9937	0.9874	0.9752
19	15:15:49	0.0000	0.0012	0.0148	0.9812	0.9937	0.9874	0.9752
20	15:16:57	0.0000	0.0014	0.0152	0.9812	0.9905	0.9858	0.9720
