EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS
1	21:20:03	0.1000	0.1982
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	21:21:46	0.1000	0.1749	0.0473	0.8622	0.9252	0.8926	0.8063
2	21:22:10	0.1000	0.0562	0.0384	0.8680	0.9239	0.8951	0.8104
3	21:22:34	0.1000	0.1967	0.1530	0.0000	0.0000	0.0000	0.0000
4	21:22:58	0.1000	0.1820	0.1529	0.0000	0.0000	0.0000	0.0000
5	21:23:22	0.1000	0.1756	0.1706	0.0000	0.0000	0.0000	0.0000
6	21:23:45	0.1000	0.1754	0.1654	0.0000	0.0000	0.0000	0.0000
7	21:24:07	0.0500	0.1671	0.1531	0.0000	0.0000	0.0000	0.0000
8	21:24:31	0.0500	0.1663	0.1440	0.0000	0.0000	0.0000	0.0000
9	21:24:55	0.0500	0.1665	0.1494	0.0000	0.0000	0.0000	0.0000
10	21:25:18	0.0500	0.1660	0.1467	0.0000	0.0000	0.0000	0.0000
11	21:25:41	0.0250	0.1639	0.1527	0.0000	0.0000	0.0000	0.0000
12	21:26:04	0.0250	0.1641	0.1548	0.0000	0.0000	0.0000	0.0000
13	21:26:27	0.0250	0.1640	0.1474	0.0000	0.0000	0.0000	0.0000
14	21:26:52	0.0250	0.1639	0.1452	0.0000	0.0000	0.0000	0.0000
15	21:27:15	0.0125	0.1634	0.1399	0.0000	0.0000	0.0000	0.0000
16	21:27:38	0.0125	0.1633	0.1453	0.0000	0.0000	0.0000	0.0000
17	21:28:03	0.0125	0.1630	0.1457	0.0000	0.0000	0.0000	0.0000
18	21:28:26	0.0125	0.1629	0.1413	0.0000	0.0000	0.0000	0.0000
19	21:28:50	0.0063	0.1624	0.1405	0.0000	0.0000	0.0000	0.0000
20	21:29:13	0.0063	0.1625	0.1412	0.0000	0.0000	0.0000	0.0000
21	21:29:37	0.0063	0.1627	0.1466	0.0000	0.0000	0.0000	0.0000
22	21:30:01	0.0063	0.1626	0.1421	0.0000	0.0000	0.0000	0.0000
23	21:30:24	0.0031	0.1624	0.1415	0.0000	0.0000	0.0000	0.0000
24	21:30:48	0.0031	0.1625	0.1418	0.0000	0.0000	0.0000	0.0000
25	21:31:11	0.0031	0.1625	0.1402	0.0000	0.0000	0.0000	0.0000
26	21:31:35	0.0031	0.1621	0.1403	0.0000	0.0000	0.0000	0.0000
27	21:31:59	0.0016	0.1620	0.1401	0.0000	0.0000	0.0000	0.0000
28	21:32:22	0.0016	0.1618	0.1399	0.0000	0.0000	0.0000	0.0000
29	21:32:46	0.0016	0.1620	0.1378	0.0000	0.0000	0.0000	0.0000
30	21:33:10	0.0016	0.1624	0.1377	0.0000	0.0000	0.0000	0.0000
31	21:33:34	0.0008	0.1622	0.1373	0.0000	0.0000	0.0000	0.0000
32	21:33:57	0.0008	0.1625	0.1380	0.0000	0.0000	0.0000	0.0000
33	21:34:21	0.0008	0.1618	0.1377	0.0000	0.0000	0.0000	0.0000
34	21:34:44	0.0008	0.1620	0.1379	0.0000	0.0000	0.0000	0.0000
35	21:35:08	0.0004	0.1623	0.1379	0.0000	0.0000	0.0000	0.0000
36	21:35:33	0.0004	0.1623	0.1378	0.0000	0.0000	0.0000	0.0000
37	21:35:57	0.0004	0.1618	0.1381	0.0000	0.0000	0.0000	0.0000
38	21:36:21	0.0004	0.1624	0.1378	0.0000	0.0000	0.0000	0.0000
39	21:36:45	0.0002	0.1623	0.1378	0.0000	0.0000	0.0000	0.0000
40	21:37:09	0.0002	0.1624	0.1377	0.0000	0.0000	0.0000	0.0000
41	21:37:33	0.0002	0.1623	0.1379	0.0000	0.0000	0.0000	0.0000
